Election Type,Date,Region,Province or Territory,Constituency,Candidate,Gender,Occupation,Political Affiliation,Result,Votes
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Chatters, David Cameron",Man,Farmer,Reform Party of Canada,Elected,15350
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Courtoreille, Lawrence",Man,Administrator,Liberal Party of Canada,Defeated,8020
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Shields, Jack Wendele",Man,Politician,Progressive Conservative Party,Defeated,6248
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Thorn, Ian",Man,Union representative,New Democratic Party,Defeated,2489
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Scott, Harvey A.",Man,"Teacher, farmer",Green Party of Canada,Defeated,312
General,1993-10-25,PRAIRIE,Alberta,Athabasca,"Shapka, Roger",Man,Machinist,Natural Law Party of Canada,Defeated,195
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Grey, Deborah C.",Woman,Member of Parliament,Reform Party of Canada,Elected,17725
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Zacharko, Michael J.",Man,Farmer,Liberal Party of Canada,Defeated,7542
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Broda, Dave",Man,Realtor,Progressive Conservative Party,Defeated,3854
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Houle, Eugene",Man,Management consultant,New Democratic Party,Defeated,1050
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Germain, Guy C.",Man,Student,Natural Law Party of Canada,Defeated,294
General,1993-10-25,PRAIRIE,Alberta,Beaver River,"Glenn, B.H. Bud",Man,Business owner,Independent,Defeated,94
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Silye, Jim",Man,Businessman,Reform Party of Canada,Elected,22600
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"Blair, Bob",Man,Professional engineer,Liberal Party of Canada,Defeated,15157
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"O'Neil, Sean",Man,Lawyer,Progressive Conservative Party,Defeated,7466
General,1993-10-25,PRAIRIE,Alberta,Calgary Centre,"McCreary, Catherine",Woman,Lawyer,New Democratic Party,Defeated,2149
