Party,election_year,Region,riding_count,Regional_PR_MPs,FPTP_MPs,Hexadecimal_colour
Bloc Québécois,1993,NATIONAL,75,39,54,#87CEFA
Bloc Québécois,1993,QC,75,39,54,#87CEFA
Bloc Québécois,1997,NATIONAL,75,29,44,#87CEFA
Bloc Québécois,1997,QC,75,29,44,#87CEFA
Bloc Québécois,2000,NATIONAL,75,32,38,#87CEFA
Bloc Québécois,2000,QC,75,32,38,#87CEFA
Bloc Québécois,2004,NATIONAL,75,40,54,#87CEFA
Bloc Québécois,2004,QC,75,40,54,#87CEFA
Bloc Québécois,2006,NATIONAL,75,34,51,#87CEFA
Bloc Québécois,2006,QC,75,34,51,#87CEFA
Bloc Québécois,2008,NATIONAL,75,30,49,#87CEFA
Bloc Québécois,2008,QC,75,30,49,#87CEFA
Bloc Québécois,2011,NATIONAL,75,18,4,#87CEFA
Bloc Québécois,2011,QC,75,18,4,#87CEFA
Bloc Québécois,2015,NATIONAL,78,16,10,#87CEFA
Bloc Québécois,2015,QC,78,16,10,#87CEFA
Bloc Québécois,2019,NATIONAL,78,27,32,#87CEFA
Bloc Québécois,2019,QC,78,27,32,#87CEFA
Bloc Québécois,2021,NATIONAL,78,27,32,#87CEFA
Bloc Québécois,2021,QC,78,27,32,#87CEFA
Bloc populaire canadien,1945,NATIONAL,82,8,2,#87CEFA
Bloc populaire canadien,1945,QC,65,8,2,#87CEFA
Canadian Reform Conservative Alliance,2000,ATLANTIC,32,3,0,#5F9EA0
Canadian Reform Conservative Alliance,2000,BC,34,18,27,#5F9EA0
Canadian Reform Conservative Alliance,2000,NATIONAL,32,78,66,#5F9EA0
Canadian Reform Conservative Alliance,2000,ON,103,25,2,#5F9EA0
Canadian Reform Conservative Alliance,2000,PRAIRIE,54,28,37,#5F9EA0
Canadian Reform Conservative Alliance,2000,QC,75,4,0,#5F9EA0
Co-operative Commonwealth Federation,1935,BC,16,6,3,#EEDDAA
Co-operative Commonwealth Federation,1935,NATIONAL,16,23,7,#EEDDAA
Co-operative Commonwealth Federation,1935,ON,82,6,0,#EEDDAA
Co-operative Commonwealth Federation,1935,PRAIRIE,55,11,4,#EEDDAA
Co-operative Commonwealth Federation,1940,ATLANTIC,26,0,1,#EEDDAA
Co-operative Commonwealth Federation,1940,BC,16,5,1,#EEDDAA
Co-operative Commonwealth Federation,1940,NATIONAL,26,18,8,#EEDDAA
Co-operative Commonwealth Federation,1940,PRAIRIE,55,13,6,#EEDDAA
Co-operative Commonwealth Federation,1945,ATLANTIC,26,3,1,#EEDDAA
Co-operative Commonwealth Federation,1945,BC,16,5,4,#EEDDAA
Co-operative Commonwealth Federation,1945,NATIONAL,26,39,28,#EEDDAA
Co-operative Commonwealth Federation,1945,ON,82,12,0,#EEDDAA
Co-operative Commonwealth Federation,1945,PRAIRIE,55,19,23,#EEDDAA
